Position Holder,Issuer,ISIN,Position Date,Net Short Position (%),Reporting Date,Cancellation Date
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-12-30,"0,84",2025-12-31,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-11-21,"0,7",2025-11-24,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-10-24,"0,6",2025-10-27,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-08-27,"0,5",2025-09-09,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-08-05,"0,48",2025-08-06,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-06-12,"0,59",2025-06-13,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-23,"0,69",2025-05-26,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-19,"0,71",2025-05-20,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-12,"0,69",2025-05-13,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-28,"0,7",2025-04-29,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-25,"0,69",2025-04-28,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-09,"0,71",2025-04-10,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-03-21,"0,68",2025-03-24,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-03-11,"0,7",2025-03-12,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2024-12-27,"0,64",2024-12-30,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2024-12-13,"0,5",2024-12-16,
AEW Global Advisors (Europe) Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-06,"0,49",2024-09-06,
AEW Global Advisors (Europe) Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-05,"0,59",2024-09-05,
"AEW Global Advisors Europe, ltd",CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-03-25,"0,63",2024-03-25,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-10-29,"0,48",2019-10-30,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-09-12,"0,59",2019-09-13,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-08-28,"0,6",2019-08-28,
AHL Partners LLP,voestalpine AG,AT0000937503,2019-08-15,"0,5",2019-08-16,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-28,"0,49",2022-09-29,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-07,"0,59",2022-09-08,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-05,"0,64",2022-09-06,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-02,"0,74",2022-09-05,
